,0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y
15,0.03952736402705556,4.686489441006475,2.4799584871455687,8.023470047090534,-0.0885859371856542,5.401655664075199,-0.09888472482376887,4.819896665268444,-2.66373721067007,8.664764971725766,-0.3094622971426856,5.030474237587358,-0.09888472482376887,4.819896665268444
16,0.06055404438618326,4.581056109436262,2.6478500389736577,8.159952067440392,-0.08326929434098698,5.3824762737062155,-0.09558256936362859,4.731586443167063,-2.936831661246172,8.946606566657762,-0.33225895993866267,4.968262833742095,-0.09558256936362859,4.731586443167063
17,0.08251434603307752,4.476556399153816,2.8134731489523688,8.296337065257438,-0.04607112768046284,5.39743235388536,-0.09180505818691213,4.644121205236387,-3.1741809547547555,9.18797207575786,-0.3555202347273587,4.907836381776831,-0.09180505818691213,4.644121205236387
18,0.10647747186375198,4.37405951305515,2.9774958091415646,8.43308677786659,0.0609375739223508,5.484198955309754,-0.086649270149815,4.558110111569081,-3.371841210120072,9.387177076719876,-0.3783677969824322,4.8498286384016955,-0.086649270149815,4.558110111569081
19,0.12398954827517368,4.2651115775372315,3.1409782719529624,8.571079052206985,-0.06102313110450727,5.343776884351504,-0.08594628506242584,4.467428659271237,-3.534473766527446,9.552759107430834,-0.4066720054338633,4.788154379642671,-0.08594628506242584,4.467428659271237
20,0.14711550141217963,4.161777518744897,3.304403554172542,8.710635234043707,0.014701347307561563,5.402630660094922,-0.08101771258988838,4.380460840191056,-3.670008038481476,9.694256307497467,-0.4318069301897091,4.731250057790874,-0.08101771258988838,4.380460840191056
21,0.1637820472640832,4.05198405266746,3.46466353693951,8.848503583539934,-0.13866132305383255,5.2338225152376365,-0.08025234067387073,4.288521240279911,-3.7925973400104587,9.81310227355284,-0.46222580183964507,4.670494701445683,-0.08025234067387073,4.288521240279911
22,0.18208657859151445,3.9438285720655513,3.6263603902472217,8.989158388321787,-0.23475280072538499,5.123566241413577,-0.07777446941774893,4.197185602303124,-3.8994333328273663,9.924641582548876,-0.49212835090562324,4.611539483790995,-0.07777446941774893,4.197185602303124
23,0.20449812672003664,3.8397801082647334,3.7850098084350914,9.12800120879842,-0.18621626047999562,5.159091892722427,-0.07168615851826375,4.1080477235439705,-4.004638697580971,10.024831424631484,-0.5197021707280661,4.55606373575377,-0.07168615851826375,4.1080477235439705
24,0.22069996495794236,3.7295219345732993,3.943708680383618,9.268026833844985,-0.3577472847402178,4.975592311251278,-0.0691280271688852,4.013658168389211,-4.106422104897783,10.124063825938483,-0.5521826451232853,4.4967127863436085,-0.0691280271688852,4.013658168389211
25,0.24032759088093417,3.6226895485669512,4.1034315059308435,9.410118218689359,-0.4086303216590529,4.913684512741715,-0.06313001712497036,3.920673529945975,-4.206973569439719,10.228243711263621,-0.5827027470036308,4.440246259824632,-0.06313001712497036,3.920673529945975
26,0.2580366069730294,3.5139385527297065,4.260338775466175,9.550353587753577,-0.5277747055826182,4.784371859049069,-0.057312488257134794,3.8251560486350615,-4.318321933375723,10.333877352398721,-0.614992961810739,4.382836522188663,-0.057312488257134794,3.8251560486350615
27,0.27735704035002795,3.406798974177365,4.418091932668369,9.692320293111004,-0.5903363350008517,4.712420859798725,-0.04901947644792936,3.729441972561731,-4.438197759453346,10.453192903595589,-0.6465130358760558,4.326935531989855,-0.04901947644792936,3.729441972561731
28,0.2899169635529569,3.292898885450954,4.5747141164114655,9.833974599576187,-0.8922729617490387,4.401804599041805,-0.04401120038370744,3.627451827056654,-4.576823023304299,10.588371147863104,-0.6831424905798295,4.266583117252773,-0.04401120038370744,3.627451827056654
29,0.3052073252854495,3.1817292352541067,4.731563391971305,9.976614085275287,-1.0979979638816462,4.18804787365606,-0.035419259886184155,3.5257394403180102,-4.739329051204144,10.749854698280824,-0.7181331845351149,4.208453364966938,-0.035419259886184155,3.5257394403180102
30,0.3233466947399472,3.0734085927792645,4.88551806548124,10.11706223355443,-1.2032915811486293,4.07531503139295,-0.02300786187721694,3.424236701427688,-4.940943158837726,10.940274449492563,-0.7513670906224325,4.1525959301729,-0.02300786187721694,3.424236701427688
31,0.3458123627814678,2.9694142488914452,5.040173056803077,10.258864176023573,-1.1558987985308378,4.115811296077234,-0.005589812149492992,3.323845620955252,-5.181656024912432,11.17390118314923,-0.7817678608676115,4.100023669673368,-0.005589812149492992,3.323845620955252
32,0.3653507506026202,2.8624926247832576,5.195595617745581,10.402041860611872,-1.2122499301267944,4.053061505549702,0.011833876675055017,3.219309101997481,-5.459222518681686,11.448668167980092,-0.8144348911664231,4.045577869838955,0.011833876675055017,3.219309101997481
33,0.3853583164981598,2.7560401787494575,5.352362082657624,10.547130320563348,-1.2522417972444555,4.007128350342205,0.03177193420348618,3.1129217323317935,-5.752811353101978,11.745966852127419,-0.8469386360633687,3.9916323025986444,0.03177193420348618,3.1129217323317935
34,0.4071879633777601,2.651409813699718,5.507762874160591,10.691382257694801,-1.228023743040259,4.025825855782883,0.05525949358610178,3.005561672451322,-6.036239534285097,12.028700490579377,-0.8782960518828081,3.9391172179202276,0.05525949358610178,3.005561672451322
35,0.4248497073168636,2.5426115457094816,5.663092827917444,10.836057995769742,-1.3513570748677957,3.8973595040000344,0.07810230195915376,2.892952058715309,-6.283607103443594,12.27607944340146,-0.912717534398102,3.8837718950725604,0.07810230195915376,2.892952058715309
36,0.44560373336047127,2.4369055598237495,5.818876654210654,10.981650614898737,-1.3655404049160258,3.8784005149815473,0.10542907035277096,2.780231632249604,-6.488196173221248,12.483421404023524,-0.945045195547834,3.8307058981502045,0.10542907035277096,2.780231632249604
37,0.4634626585122536,2.3283044730461917,5.972875735824457,11.125892460598916,-1.4822459617829522,3.757249205498866,0.1329457812601633,2.663226972324466,-6.659996580310933,12.651703665741172,-0.9794893763357588,3.775662129920384,0.1329457812601633,2.663226972324466
38,0.47886963208649747,2.2172514346910956,6.127834345403787,11.2715011056672,-1.6857935365685177,3.549560755172974,0.1608424302323956,2.5423747911592516,-6.802222659793913,12.795064254519382,-1.0157139253290746,3.718931146720717,0.1608424302323956,2.5423747911592516
39,0.4978304211212928,2.109752211796551,6.281512619879905,11.416212098154952,-1.763835771284177,3.467659665901327,0.19317396829487385,2.4221135749262737,-6.92744686867744,12.917066997330647,-1.0494497134028913,3.664737256624034,0.19317396829487385,2.4221135749262737
